LET;IntFlux;DiffFlux
1.87094e+02;7.18957e-03;3.25008e-05
1.89190e+02;7.12185e-03;3.17594e-05
1.91309e+02;7.05492e-03;3.02383e-05
1.93452e+02;6.99049e-03;2.64378e-05
1.95618e+02;6.93352e-03;2.56054e-05
1.97810e+02;6.87773e-03;2.40222e-05
2.00025e+02;6.82481e-03;2.36211e-05
2.02265e+02;6.77218e-03;3.26228e-05
2.04531e+02;6.69869e-03;3.56348e-05
2.06822e+02;6.61751e-03;2.68686e-05
2.09138e+02;6.55561e-03;2.39007e-05
2.11481e+02;6.49994e-03;2.33659e-05
2.13849e+02;6.44490e-03;2.14068e-05
2.16245e+02;6.39391e-03;1.98870e-05
2.18667e+02;6.34601e-03;1.95062e-05
2.21116e+02;6.29851e-03;1.91999e-05
2.23592e+02;6.25122e-03;1.69731e-05
2.26097e+02;6.20895e-03;1.59636e-05
2.28629e+02;6.16875e-03;1.58086e-05
2.31190e+02;6.12849e-03;1.55633e-05
2.33779e+02;6.08842e-03;1.51850e-05
2.36398e+02;6.04888e-03;1.48710e-05
2.39046e+02;6.00972e-03;1.39896e-05
2.41723e+02;5.97247e-03;9.24204e-05
2.44430e+02;5.72365e-03;6.11790e-05
2.47168e+02;5.55709e-03;4.64711e-05
2.49937e+02;5.42915e-03;3.71172e-05
2.52736e+02;5.32583e-03;3.41621e-05
2.55567e+02;5.22966e-03;2.69549e-05
2.58429e+02;5.15293e-03;2.53292e-05
2.61324e+02;5.08002e-03;2.27181e-05
2.64251e+02;5.01390e-03;2.19531e-05
2.67211e+02;4.94929e-03;2.05534e-05
2.70203e+02;4.88811e-03;1.93072e-05
2.73230e+02;4.83001e-03;1.86608e-05
2.76290e+02;4.77322e-03;1.73246e-05
2.79385e+02;4.71990e-03;1.54718e-05
2.82514e+02;4.67176e-03;2.01277e-05
2.85678e+02;4.60842e-03;2.19423e-05
2.88878e+02;4.53860e-03;1.81480e-05
2.92114e+02;4.48021e-03;1.58750e-05
2.95385e+02;4.42856e-03;1.46328e-05
2.98694e+02;4.38042e-03;1.34604e-05
3.02039e+02;4.33564e-03;1.23795e-05
3.05422e+02;4.29399e-03;1.19191e-05
3.08843e+02;4.25344e-03;1.06986e-05
3.12302e+02;4.21664e-03;1.05579e-05
3.15800e+02;4.17992e-03;1.03347e-05
3.19337e+02;4.14357e-03;1.02604e-05
3.22914e+02;4.10707e-03;8.83617e-06
3.26531e+02;4.07529e-03;8.49588e-06
3.30188e+02;4.04439e-03;3.16369e-05
3.33887e+02;3.92804e-03;4.61346e-05
3.37626e+02;3.75647e-03;3.13559e-05
3.41408e+02;3.63856e-03;2.25401e-05
3.45232e+02;3.55285e-03;2.09649e-05
3.49099e+02;3.47223e-03;1.80781e-05
3.53009e+02;3.40194e-03;1.56347e-05
3.56963e+02;3.34046e-03;1.39343e-05
3.60961e+02;3.28506e-03;1.26334e-05
3.65004e+02;3.23427e-03;1.16850e-05
3.69092e+02;3.18677e-03;1.08397e-05
3.73226e+02;3.14221e-03;1.05210e-05
3.77406e+02;3.09847e-03;9.70387e-06
3.81633e+02;3.05768e-03;1.12018e-05
3.85908e+02;3.01006e-03;9.60331e-06
3.90230e+02;2.96878e-03;8.32301e-06
3.94601e+02;2.93261e-03;7.90272e-06
3.99021e+02;2.89788e-03;7.61777e-06
4.03490e+02;2.86402e-03;7.13168e-06
4.08009e+02;2.83197e-03;6.46957e-06
4.12579e+02;2.80257e-03;6.40544e-06
4.17200e+02;2.77313e-03;6.37487e-06
4.21873e+02;2.74351e-03;5.88868e-06
4.26598e+02;2.71584e-03;5.66657e-06
4.31376e+02;2.68892e-03;9.40509e-06
4.36208e+02;2.64373e-03;1.09404e-05
4.41094e+02;2.59057e-03;8.24042e-06
4.46034e+02;2.55009e-03;6.68511e-06
4.51030e+02;2.51688e-03;6.42078e-06
4.56082e+02;2.48462e-03;5.95100e-06
4.61190e+02;2.45439e-03;5.52204e-06
4.66356e+02;2.42602e-03;5.08745e-06
4.71579e+02;2.39960e-03;4.95599e-06
4.76861e+02;2.37357e-03;4.63366e-06
4.82202e+02;2.34896e-03;4.40667e-06
4.87603e+02;2.32529e-03;5.18150e-06
4.93064e+02;2.29715e-03;4.72768e-06
4.98587e+02;2.27119e-03;4.27232e-06
5.04171e+02;2.24746e-03;3.89390e-06
5.09818e+02;2.22559e-03;3.67498e-06
5.15528e+02;2.20473e-03;3.53079e-06
5.21303e+02;2.18445e-03;3.27243e-06
5.27141e+02;2.16545e-03;3.13868e-06
5.33046e+02;2.14702e-03;3.02724e-06
5.39016e+02;2.12905e-03;2.93683e-06
5.45053e+02;2.11142e-03;3.43296e-06
5.51158e+02;2.09058e-03;5.06893e-06
5.57331e+02;2.05946e-03;3.76783e-06
5.63574e+02;2.03607e-03;3.21508e-06
5.69886e+02;2.01589e-03;3.06075e-06
5.76269e+02;1.99646e-03;2.77982e-06
5.82724e+02;1.97862e-03;2.57799e-06
5.89250e+02;1.96189e-03;2.47544e-06
5.95850e+02;1.94564e-03;2.30256e-06
6.02524e+02;1.93036e-03;2.27649e-06
6.09273e+02;1.91508e-03;3.33177e-06
6.16097e+02;1.89247e-03;3.24124e-06
6.22997e+02;1.87023e-03;2.86184e-06
6.29975e+02;1.85037e-03;2.36363e-06
6.37031e+02;1.83379e-03;2.04510e-06
6.44166e+02;1.81927e-03;1.84167e-06
6.51381e+02;1.80606e-03;1.74867e-06
6.58677e+02;1.79337e-03;1.70304e-06
6.66055e+02;1.78088e-03;1.67778e-06
6.73515e+02;1.76843e-03;2.91666e-06
6.81059e+02;1.74655e-03;4.17122e-06
6.88687e+02;1.71491e-03;3.05940e-06
6.96400e+02;1.69144e-03;2.39847e-06
7.04200e+02;1.67284e-03;2.26623e-06
7.12088e+02;1.65506e-03;2.09318e-06
7.20063e+02;1.63846e-03;1.89829e-06
7.28129e+02;1.62324e-03;1.76224e-06
7.36284e+02;1.60895e-03;1.63637e-06
7.44531e+02;1.59553e-03;1.92685e-06
7.52870e+02;1.57955e-03;1.75715e-06
7.61302e+02;1.56481e-03;1.56991e-06
7.69829e+02;1.55150e-03;1.43991e-06
7.78452e+02;1.53916e-03;1.34965e-06
7.87171e+02;1.52745e-03;1.27800e-06
