Energy;IntFlux;DiffFlux
4.17656e+00;3.40755e-05;2.69281e+00
4.23813e+00;3.43984e-05;2.69281e+00
4.30062e+00;3.47324e-05;2.69281e+00
4.36402e+00;3.50778e-05;2.69280e+00
4.42836e+00;3.54353e-05;2.69280e+00
4.49365e+00;3.58055e-05;2.69280e+00
4.55990e+00;3.61891e-05;2.69280e+00
4.62713e+00;3.65866e-05;2.69279e+00
4.69535e+00;3.69990e-05;2.69279e+00
4.76457e+00;3.74268e-05;2.69279e+00
4.83482e+00;3.78711e-05;2.69279e+00
4.90610e+00;3.83327e-05;2.69278e+00
4.97843e+00;3.88125e-05;2.69278e+00
5.05183e+00;3.92309e-05;2.69278e+00
5.12631e+00;3.96299e-05;2.69277e+00
5.20189e+00;4.00429e-05;2.69277e+00
5.27858e+00;4.04708e-05;2.69277e+00
5.35640e+00;4.09141e-05;2.69277e+00
5.43537e+00;4.13738e-05;2.69276e+00
5.51551e+00;4.18508e-05;2.69276e+00
5.59682e+00;4.23459e-05;2.69276e+00
5.67934e+00;4.28603e-05;2.69275e+00
5.76307e+00;4.33949e-05;2.69275e+00
5.84804e+00;4.39510e-05;2.69274e+00
5.93425e+00;4.45296e-05;2.69274e+00
6.02174e+00;4.50952e-05;2.69274e+00
6.11052e+00;4.55669e-05;2.69273e+00
6.20061e+00;4.60555e-05;2.69273e+00
6.29203e+00;4.65675e-05;2.69272e+00
6.38479e+00;4.70997e-05;2.69272e+00
6.47893e+00;4.76519e-05;2.69272e+00
6.57445e+00;4.82251e-05;2.69271e+00
6.67138e+00;4.88205e-05;2.69271e+00
6.76973e+00;4.94393e-05;2.69270e+00
6.86954e+00;5.00830e-05;2.69270e+00
6.97082e+00;5.07530e-05;2.69269e+00
7.07359e+00;5.13422e-05;2.69269e+00
7.17788e+00;5.19092e-05;2.69268e+00
7.28370e+00;5.24969e-05;2.69268e+00
7.39109e+00;5.31063e-05;2.69267e+00
7.50006e+00;5.37387e-05;2.69266e+00
7.61063e+00;5.43952e-05;2.69266e+00
7.72284e+00;5.50773e-05;2.69265e+00
7.83670e+00;5.57862e-05;2.69265e+00
7.95223e+00;5.65235e-05;2.69264e+00
8.06948e+00;5.71735e-05;2.69263e+00
8.18845e+00;5.77640e-05;2.69263e+00
8.30917e+00;5.83750e-05;2.69262e+00
8.43167e+00;5.90075e-05;2.69261e+00
8.55598e+00;5.96625e-05;2.69260e+00
8.68213e+00;6.03413e-05;2.69260e+00
8.81013e+00;6.10450e-05;2.69259e+00
8.94002e+00;6.17750e-05;2.69258e+00
9.07182e+00;6.25326e-05;2.69257e+00
9.20557e+00;6.33195e-05;2.69256e+00
9.34129e+00;6.41373e-05;2.69256e+00
9.47901e+00;6.49876e-05;2.69255e+00
9.61876e+00;6.58725e-05;2.69254e+00
9.76057e+00;6.67939e-05;2.69253e+00
9.90447e+00;6.77539e-05;2.69252e+00
1.00505e+01;6.86534e-05;2.69251e+00
1.01987e+01;6.93903e-05;2.69250e+00
1.03490e+01;7.01524e-05;2.69249e+00
1.05016e+01;7.09418e-05;2.69248e+00
1.06564e+01;7.17594e-05;2.69247e+00
1.08136e+01;7.26073e-05;2.69245e+00
1.09730e+01;7.34861e-05;2.69244e+00
1.11348e+01;7.43981e-05;2.69243e+00
1.12989e+01;7.53445e-05;2.69242e+00
1.14655e+01;7.63282e-05;2.69241e+00
1.16345e+01;7.73503e-05;2.69239e+00
1.18061e+01;7.84137e-05;2.69238e+00
1.19801e+01;7.95198e-05;2.69237e+00
1.21568e+01;8.03795e-05;2.69235e+00
1.23360e+01;8.12298e-05;2.69234e+00
1.25179e+01;8.21090e-05;2.69232e+00
1.27024e+01;8.30178e-05;2.69231e+00
1.28897e+01;8.39586e-05;2.69229e+00
1.30797e+01;8.49322e-05;2.69228e+00
1.32726e+01;8.59406e-05;2.69226e+00
1.34682e+01;8.69844e-05;2.69224e+00
1.36668e+01;8.80672e-05;2.69222e+00
1.38683e+01;8.91904e-05;2.69221e+00
1.40728e+01;9.03565e-05;2.69219e+00
1.42802e+01;9.15670e-05;2.69217e+00
1.44908e+01;9.28259e-05;2.69215e+00
1.47044e+01;9.41346e-05;2.69213e+00
1.49212e+01;9.54962e-05;2.69211e+00
1.51412e+01;9.66163e-05;2.69209e+00
1.53644e+01;9.76037e-05;2.69207e+00
1.55909e+01;9.86223e-05;2.69204e+00
1.58208e+01;9.96736e-05;2.69202e+00
1.60540e+01;1.00759e-04;2.69200e+00
1.62907e+01;1.01878e-04;2.69197e+00
1.65309e+01;1.03035e-04;2.69195e+00
1.67746e+01;1.04230e-04;2.69192e+00
1.70219e+01;1.05466e-04;2.69190e+00
1.72729e+01;1.06746e-04;2.69187e+00
1.75276e+01;1.08070e-04;2.69184e+00
1.77860e+01;1.09439e-04;2.69182e+00
1.80482e+01;1.10859e-04;2.69179e+00
1.83143e+01;1.12331e-04;2.69176e+00
1.85843e+01;1.13859e-04;2.69173e+00
1.88583e+01;1.15444e-04;2.69170e+00
1.91363e+01;1.17089e-04;2.69166e+00
1.94184e+01;1.18800e-04;2.69163e+00
1.97047e+01;1.20579e-04;2.69160e+00
1.99952e+01;1.22432e-04;2.69156e+00
2.02900e+01;1.23828e-04;2.69152e+00
2.05892e+01;1.25258e-04;2.69149e+00
2.08927e+01;1.26734e-04;2.69145e+00
2.12008e+01;1.28258e-04;2.69141e+00
2.15133e+01;1.29829e-04;2.69137e+00
2.18305e+01;1.31453e-04;2.69133e+00
2.21523e+01;1.33132e-04;2.69129e+00
2.24789e+01;1.34868e-04;2.69124e+00
2.28104e+01;1.36662e-04;2.69120e+00
2.31467e+01;1.38520e-04;2.69115e+00
2.34879e+01;1.40445e-04;2.69110e+00
2.38342e+01;1.42439e-04;2.69105e+00
2.41856e+01;1.44506e-04;2.69100e+00
2.45422e+01;1.46653e-04;2.69095e+00
2.49040e+01;1.48880e-04;2.69090e+00
2.52712e+01;1.50813e-04;2.69084e+00
2.56437e+01;1.52668e-04;2.69079e+00
2.60218e+01;1.54579e-04;2.69073e+00
2.64054e+01;1.56548e-04;2.69067e+00
2.67948e+01;1.58580e-04;2.69061e+00
2.71898e+01;1.60674e-04;2.69054e+00
2.75907e+01;1.62836e-04;2.69048e+00
2.79974e+01;1.65252e-04;2.69041e+00
2.84102e+01;1.67757e-04;2.69034e+00
2.88291e+01;1.70355e-04;2.69027e+00
2.92541e+01;1.73052e-04;2.69020e+00
2.96854e+01;1.75850e-04;2.69012e+00
3.01230e+01;1.78561e-04;2.69005e+00
3.05672e+01;1.80849e-04;2.68997e+00
3.10178e+01;1.83197e-04;2.68989e+00
3.14751e+01;1.85615e-04;2.68980e+00
3.19392e+01;1.88102e-04;2.68971e+00
3.24100e+01;1.90661e-04;2.68963e+00
3.28879e+01;1.93298e-04;2.68953e+00
3.33727e+01;1.96012e-04;2.68944e+00
3.38648e+01;1.98813e-04;2.68934e+00
3.43640e+01;2.01696e-04;2.68924e+00
3.48707e+01;2.04675e-04;2.68914e+00
3.53848e+01;2.07746e-04;2.68903e+00
3.59065e+01;2.10920e-04;2.68892e+00
3.64358e+01;2.14198e-04;2.68881e+00
3.69730e+01;2.17589e-04;2.68870e+00
3.75181e+01;2.21097e-04;2.68858e+00
3.80713e+01;2.24728e-04;2.68845e+00
3.86326e+01;2.28491e-04;2.68833e+00
3.90404e+01;2.31273e-04;2.68823e+00
3.92021e+01;2.32389e-04;2.68819e+00
3.97801e+01;2.36437e-04;2.68806e+00
4.03666e+01;2.39900e-04;2.68792e+00
4.09617e+01;2.43000e-04;2.68778e+00
4.15656e+01;2.46165e-04;2.68763e+00
4.21784e+01;2.49603e-04;2.68748e+00
4.28003e+01;2.53311e-04;2.68732e+00
4.34313e+01;2.57121e-04;2.68716e+00
4.40716e+01;2.61047e-04;2.68699e+00
4.47214e+01;2.65084e-04;2.68682e+00
4.53807e+01;2.69248e-04;2.68665e+00
4.60498e+01;2.73534e-04;2.68646e+00
4.67287e+01;2.77957e-04;2.68628e+00
4.74176e+01;2.82519e-04;2.68608e+00
4.81167e+01;2.87230e-04;2.68588e+00
4.88261e+01;2.92097e-04;2.68568e+00
4.95459e+01;2.97125e-04;2.68547e+00
5.02764e+01;3.01900e-04;2.68525e+00
5.10176e+01;3.06066e-04;2.68502e+00
5.17698e+01;3.10319e-04;2.68479e+00
5.25331e+01;3.14660e-04;2.68455e+00
5.33076e+01;3.19082e-04;2.68431e+00
5.40935e+01;3.23598e-04;2.68405e+00
5.48910e+01;3.28527e-04;2.68379e+00
5.57003e+01;3.33771e-04;2.68353e+00
5.65215e+01;3.39171e-04;2.68325e+00
5.73548e+01;3.44728e-04;2.68296e+00
5.82004e+01;3.50446e-04;2.68267e+00
5.90584e+01;3.56342e-04;2.68237e+00
5.99291e+01;3.62415e-04;2.68205e+00
6.08127e+01;3.67632e-04;2.68173e+00
6.17093e+01;3.72859e-04;2.68140e+00
6.26190e+01;3.78182e-04;2.68106e+00
6.35423e+01;3.83601e-04;2.68071e+00
6.44791e+01;3.89126e-04;2.68035e+00
6.54297e+01;3.94760e-04;2.67997e+00
6.63943e+01;4.00645e-04;2.67959e+00
6.73732e+01;4.07309e-04;2.67919e+00
